idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
877	51.7346	32.0867	47.9302	6.0	-0.09287650	-0.09278418	0.00009232
878	59.7321	22.5052	59.5835	8.0	-0.08552248	-0.08568317	-0.00016069
879	55.4092	33.8803	64.8100	6.0	-0.10474849	-0.10684361	-0.00209512
880	48.5369	26.5047	51.9009	8.0	-0.07427702	-0.07444261	-0.00016559
881	53.4781	32.8670	66.0351	8.0	-0.08685552	-0.08827012	-0.00141460
882	52.4436	25.5001	55.6272	6.0	-0.09051897	-0.09097027	-0.00045129
883	61.9699	36.1643	66.5612	8.0	-0.09116728	-0.09228366	-0.00111639
884	62.6233	23.2671	54.7096	7.0	-0.09743810	-0.09631896	0.00111914
885	55.9534	22.0623	56.8639	8.0	-0.08213849	-0.08222039	-0.00008190
886	57.2244	24.0967	57.4245	6.0	-0.09860568	-0.09885017	-0.00024449
887	53.7518	43.7874	57.0650	7.0	-0.09800481	-0.09847848	-0.00047366
888	55.8828	41.3847	55.5770	4.0	-0.14052447	-0.14110365	-0.00057918
889	64.0038	29.6552	47.8379	5.0	-0.11378354	-0.11065522	0.00312831
890	61.0617	31.3761	59.7905	2.0	-0.18228070	-0.18799787	-0.00571717
891	60.1824	27.5103	58.3649	3.0	-0.14330681	-0.14434086	-0.00103404
892	67.9750	25.1246	52.5380	8.0	-0.08866673	-0.08719753	0.00146920
893	65.2528	28.6249	63.9100	8.0	-0.09115924	-0.09175625	-0.00059702
894	61.6418	27.1280	50.9742	4.0	-0.13409300	-0.13007246	0.00402053
895	57.7063	28.2940	60.6242	4.0	-0.12468074	-0.12749390	-0.00281316
896	61.6065	29.8670	50.6425	2.0	-0.18009105	-0.17126861	0.00882244
897	61.8677	27.9562	58.1200	3.0	-0.15431500	-0.15456627	-0.00025127
898	58.6573	40.2210	47.5367	7.0	-0.09933975	-0.09908570	0.00025405
899	54.1425	44.7336	54.1009	8.0	-0.09036785	-0.09070871	-0.00034087
900	63.1160	28.9700	53.7290	2.0	-0.20023561	-0.19200379	0.00823182
901	64.5420	35.7838	58.7202	3.0	-0.15606366	-0.15740360	-0.00133994
902	66.1726	34.5187	60.0576	5.0	-0.12646277	-0.12706519	-0.00060241
903	48.7776	27.4284	50.1763	8.0	-0.07506600	-0.07514692	-0.00008092
904	69.5762	35.6032	59.5642	8.0	-0.09526395	-0.09524163	0.00002232
905	62.0284	43.6537	52.5606	7.0	-0.09996802	-0.10008188	-0.00011386
906	65.8489	24.3948	49.8049	8.0	-0.08662064	-0.08501488	0.00160576
907	63.3473	25.0213	51.6022	6.0	-0.10687489	-0.10460251	0.00227237
908	67.0106	33.2816	56.4267	4.0	-0.14203812	-0.14072525	0.00131286
909	51.9378	34.3735	56.9110	3.0	-0.13717469	-0.13838303	-0.00120833
910	53.9357	26.8001	61.1451	6.0	-0.09358011	-0.09491636	-0.00133626
911	55.3011	37.7993	64.1054	6.0	-0.10791224	-0.10938535	-0.00147311
912	65.7851	30.6317	46.1167	7.0	-0.09300002	-0.09111072	0.00188929
913	56.2471	42.3376	58.9098	5.0	-0.12123889	-0.12181240	-0.00057351
914	54.5364	39.9799	59.8452	4.0	-0.13411228	-0.13496081	-0.00084853
915	62.9634	31.5596	61.6200	4.0	-0.13639313	-0.13853056	-0.00213743
916	57.1904	39.4528	63.6277	6.0	-0.11103882	-0.11225761	-0.00121879
917	58.4986	33.5184	50.1765	2.0	-0.17393207	-0.17109758	0.00283448
918	58.1972	40.7322	52.7226	4.0	-0.14139463	-0.14189425	-0.00049962
919	61.1586	43.8815	50.5883	8.0	-0.09275474	-0.09276761	-0.00001286
920	63.7067	25.1410	47.2373	8.0	-0.08575744	-0.08411827	0.00163917
921	56.8004	23.9904	55.9882	6.0	-0.09851465	-0.09849406	0.00002059
922	51.6881	40.2661	48.7826	8.0	-0.08635727	-0.08653963	-0.00018237
923	52.8022	37.7433	53.7501	4.0	-0.13737905	-0.13852299	-0.00114394
924	53.1470	38.4859	48.9361	6.0	-0.10054763	-0.10071161	-0.00016398
