global_idx	min_dist	q
4552	3.641	+0.0534
10503	4.723	+0.0846
7319	4.542	-0.0430
11957	3.469	+0.0086
10589	2.985	-0.0041
11826	3.296	+0.0506
4779	4.175	+0.0118
10612	3.729	+0.0292
3161	3.939	-0.0401
5968	5.138	-0.0173
9766	3.979	-0.0159
3861	3.493	-0.1173
12480	3.638	+0.0044
3190	4.139	+0.0365
3299	4.118	+0.0443
10661	3.408	+0.0980
3210	4.508	-0.0592
3162	3.910	-0.0057
6525	4.310	-0.0419
12587	3.466	-0.0229
6076	4.405	-0.0406
11231	3.061	+0.0188
8642	4.097	-0.0344
12561	4.055	-0.0458
4676	4.015	-0.0125
5855	3.838	+0.0270
7992	4.137	-0.0461
11808	3.001	+0.0582
11960	3.086	+0.0811
10000	3.700	+0.0714
11125	4.032	+0.0836
3922	4.321	+0.0261
10537	4.691	+0.0292
12461	3.373	+0.0119
3985	4.353	-0.0087
11046	3.292	+0.0128
12539	4.094	-0.0362
6753	3.991	-0.0222
9356	3.802	-0.0011
9817	4.733	+0.0933
4655	4.461	-0.0214
5284	4.714	-0.0167
6006	5.171	-0.0262
11302	3.280	+0.0911
12590	3.082	+0.0337
11888	3.723	-0.0112
6577	4.903	-0.0150
11733	3.046	+0.0283
3962	4.613	-0.0297
3866	3.812	+0.0408
10634	3.582	+0.0659
9721	3.180	+0.0470
5448	4.016	-0.0056
11844	3.360	+0.0371
4741	4.599	-0.0097
8495	4.694	+0.0337
11327	3.493	+0.0478
4095	3.709	+0.0507
6093	4.354	-0.0289
7844	4.729	+0.0081
9359	4.045	+0.0432
9313	4.000	+0.0047
12499	3.871	-0.0040
7370	4.123	-0.0418
11068	3.064	+0.0455
9784	4.312	+0.0363
11328	3.371	+0.0730
3349	3.909	+0.0546
3160	4.089	-0.0702
3217	4.492	+0.0369
4697	3.615	-0.0219
2589	4.041	+0.0419
6543	4.650	-0.0376
12563	3.273	+0.0075
3320	4.213	+0.0369
2590	4.041	+0.0486
4007	3.987	-0.0038
5205	3.733	+0.0542
5833	2.903	+0.0640
10486	4.769	+0.0916
9295	4.176	-0.0172
11753	2.787	+0.0454
9747	3.877	-0.0527
2563	4.178	+0.0203
7352	4.293	-0.0487
9725	3.744	-0.0543
3163	4.005	+0.0192
4074	4.275	+0.0279
5949	5.134	-0.0164
6506	4.181	-0.0201
