grid_idx	shell	dV	q
637	13.0	-0.000587	+1.0000
638	15.0	-0.000410	+1.0000
642	15.0	-0.000471	+1.0000
644	13.0	-0.000665	+1.0000
646	13.0	+0.000370	-1.0000
647	9.0	-0.000449	+1.0000
648	11.0	+0.000787	-1.0000
653	14.0	-0.000543	+1.0000
654	12.0	+0.000541	-1.0000
656	9.0	+0.001280	-1.0000
657	14.0	+0.000521	-1.0000
658	14.0	+0.000458	-1.0000
664	14.0	-0.000579	+1.0000
666	15.0	+0.000539	-1.0000
671	14.0	-0.000569	+1.0000
673	14.0	+0.000680	-1.0000
674	9.0	-0.000952	+1.0000
675	12.0	+0.000882	-1.0000
676	15.0	+0.000603	-1.0000
679	12.0	+0.000540	-1.0000
682	9.0	-0.000946	+1.0000
683	11.0	+0.000471	-1.0000
684	11.0	+0.000568	-1.0000
685	10.0	-0.000729	+1.0000
687	12.0	-0.000609	+1.0000
689	13.0	+0.000636	-1.0000
692	13.0	+0.000669	-1.0000
694	9.0	-0.000428	+1.0000
696	11.0	-0.000879	+1.0000
699	15.0	+0.000579	-1.0000
701	10.0	+0.001068	-1.0000
703	12.0	+0.000762	-1.0000
704	15.0	-0.000352	+1.0000
707	9.0	-0.000650	+1.0000
708	10.0	+0.000369	-1.0000
710	13.0	+0.000673	-1.0000
715	11.0	+0.000593	-1.0000
716	13.0	-0.000391	+1.0000
718	11.0	-0.000393	+1.0000
719	10.0	+0.001118	-1.0000
722	13.0	-0.000456	+1.0000
724	15.0	+0.000457	-1.0000
725	9.0	-0.000816	+1.0000
726	14.0	+0.000501	-1.0000
727	15.0	-0.000408	+1.0000
728	12.0	-0.000533	+1.0000
729	11.0	+0.000965	-1.0000
731	11.0	+0.000592	-1.0000
734	11.0	+0.000877	-1.0000
735	9.0	-0.000394	+1.0000
739	13.0	+0.000760	-1.0000
744	14.0	+0.000587	-1.0000
745	10.0	-0.000506	+1.0000
746	11.0	-0.000405	+1.0000
748	12.0	-0.000704	+1.0000
750	12.0	-0.000730	+1.0000
752	15.0	-0.000538	+1.0000
753	13.0	+0.000606	-1.0000
754	15.0	+0.000462	-1.0000
755	11.0	-0.000480	+1.0000
757	10.0	-0.000460	+1.0000
759	9.0	-0.000421	+1.0000
761	14.0	-0.000554	+1.0000
762	11.0	+0.000318	-1.0000
763	10.0	-0.000802	+1.0000
766	10.0	+0.000508	-1.0000
768	15.0	+0.000407	-1.0000
769	10.0	+0.000582	-1.0000
771	12.0	+0.000699	-1.0000
774	15.0	+0.000395	-1.0000
780	13.0	-0.000625	+1.0000
785	13.0	+0.000387	-1.0000
792	9.0	-0.000528	+1.0000
793	13.0	+0.000583	-1.0000
795	14.0	+0.000437	-1.0000
796	10.0	-0.000644	+1.0000
800	12.0	-0.000702	+1.0000
801	13.0	+0.000582	-1.0000
803	12.0	-0.000603	+1.0000
804	14.0	+0.000444	-1.0000
